State,Mean Cost,id
Alabama,756.8414647273595,1
Alaska,841.0106109925304,2
Arizona,764.9188179658651,4
Arkansas,685.246254248187,5
California,865.5389101593734,6
Colorado,755.7284137200564,8
Connecticut,714.6530675439104,9
Delaware,564.8503973122985,10
District of Columbia,885.0225224577798,11
Florida,715.5473678620849,12
Georgia,796.8766150710583,13
Hawaii,962.7565568392505,15
Idaho,835.3549333126546,16
Illinois,712.4296325063519,17
Indiana,602.1843038414054,18
Iowa,681.8069452548491,19
Kansas,679.9876367022181,20
Kentucky,726.9205228576711,21
Louisiana,806.4109592979279,22
Maine,656.3228685453656,23
Maryland,705.9999265993308,24
Massachusetts,788.3209711385432,25
Michigan,683.6968569900392,26
Minnesota,631.2773787918053,27
Mississippi,781.3619473414261,28
Missouri,633.5774820208188,29
Montana,697.9033003952569,30
Nebraska,641.178792822187,31
Nevada,701.4197556878886,32
New Hampshire,799.5008071625339,33
New Jersey,769.491425470958,34
New Mexico,676.1224234303196,35
New York,765.7651907222648,36
North Carolina,636.6307598029382,37
North Dakota,702.7326267664174,38
Ohio,638.6397943534349,39
Oklahoma,684.9454034348646,40
Oregon,824.5514771261684,41
Pennsylvania,653.5748713510587,42
Rhode Island,722.0394792312447,44
South Carolina,654.390001448598,45
South Dakota,630.6074089635848,46
Tennessee,638.9449531346469,47
Texas,767.9767047448601,48
Utah,813.6419857361751,49
Vermont,780.3689332247552,50
Virginia,615.6272767029511,51
Washington,758.5927751074018,53
West Virginia,675.98334798242,54
Wisconsin,680.2670818251911,55
Wyoming,873.6882116402114,56
