Cost Interval,Project Current Status,Rate
"[0,100)",Fully Funded,100.0
"[100,200)",Expired,4.813903414334051
"[100,200)",Fully Funded,95.18609658566595
"[1000,2000)",Expired,41.279379731602916
"[1000,2000)",Fully Funded,58.720620268397084
"[10000,inf)",Expired,47.50198255352895
"[10000,inf)",Fully Funded,52.49801744647105
"[200,300)",Expired,10.319955181375372
"[200,300)",Fully Funded,89.68004481862462
"[2000,3000)",Expired,53.093103984249524
"[2000,3000)",Fully Funded,46.906896015750476
"[300,400)",Expired,16.44698875833891
"[300,400)",Fully Funded,83.55301124166108
"[3000,4000)",Expired,46.723149763269376
"[3000,4000)",Fully Funded,53.276850236730624
"[400,500)",Expired,21.452102821392412
"[400,500)",Fully Funded,78.54789717860758
"[4000,5000)",Expired,47.30483271375465
"[4000,5000)",Fully Funded,52.69516728624535
"[500,600)",Expired,25.370944073047447
"[500,600)",Fully Funded,74.62905592695255
"[5000,6000)",Expired,51.6179952644041
"[5000,6000)",Fully Funded,48.3820047355959
"[600,700)",Expired,27.10408845005469
"[600,700)",Fully Funded,72.89591154994531
"[6000,7000)",Expired,47.52808988764045
"[6000,7000)",Fully Funded,52.47191011235955
"[700,800)",Expired,30.193276278612668
"[700,800)",Fully Funded,69.80672372138733
"[7000,8000)",Expired,46.130030959752325
"[7000,8000)",Fully Funded,53.869969040247675
"[800,900)",Expired,32.21556034789203
"[800,900)",Fully Funded,67.78443965210796
"[8000,9000)",Expired,48.12623274161736
"[8000,9000)",Fully Funded,51.87376725838264
"[900,1000)",Expired,29.910950048258155
"[900,1000)",Fully Funded,70.08904995174184
"[9000,10000)",Expired,52.48041775456919
"[9000,10000)",Fully Funded,47.51958224543081
